des,year,month,day_of_year,days_from_now,dist_km,diameter_km,v_rel,h,threat_score,kinetic_energy_megatons,india_visible,best_observatory,threat_category
2021 JD9,2021,5,129,-1781.9569351665627,1198473.8420436245,1.6359296378871874e-05,9.73175228533825,26.58,1.3283946160238102e-10,3.891739802268904e-11,0,0,watch
2022 VF,2021,5,129,-1781.721518499896,7433225.287571467,9.03159845328255e-06,7.83927208585885,27.87,9.524957862354192e-12,4.249258785751903e-12,1,0,monitor
2021 JS3,2021,5,130,-1781.0194351665627,4934940.121994574,2.342958631444978e-05,9.1916453774916,25.8,4.363912092548579e-11,1.0198780046141606e-10,0,0,watch
2021 JP5,2021,5,130,-1780.8763796110072,5663527.32229734,3.2791751978824815e-05,10.701764999013,25.07,6.196308477257462e-11,3.7902907416243346e-10,0,0,monitor
2021 JA2,2021,5,130,-1780.7076296110072,4808155.6882061185,2.186576219385461e-05,13.1666981736407,25.95,5.987740618492749e-11,1.7010436766649737e-10,1,0,watch
2021 JT,2021,5,130,-1780.672907388785,2246868.8458801177,1.1528282771370349e-05,8.22260749035289,27.34,4.218873052630046e-11,9.722564291093768e-12,1,0,watch
2021 GM10,2021,5,130,-1780.2916573887849,4879107.484530175,3.5955441058116554e-05,5.78926209269263,24.87,4.266261249701539e-11,1.4622045384444132e-10,1,0,watch
2021 JZ5,2021,5,130,-1780.1499907221182,392487.22840591293,7.240434357322712e-06,16.0819344429687,28.35,2.9667255962952974e-10,9.213789358820503e-12,1,0,watch
2021 KX,2021,5,131,-1780.090268499896,6606736.543428785,3.9606331717414726e-05,9.38678412461253,24.66,5.627227351285008e-11,5.138014965585658e-10,0,2,monitor
2021 JX3,2021,5,131,-1779.7319351665628,7160867.970692221,2.8957737072010862e-05,13.4641764250802,25.34,5.444760082218773e-11,4.131628761072438e-10,0,2,monitor
2021 GK1,2021,5,131,-1779.4166573887849,567381.1209465584,1.3358713030817226e-05,2.01201103653705,27.02,4.7371823029809954e-11,9.057793634821939e-13,0,2,watch
2021 KV1,2021,5,131,-1779.2916573887849,4716481.009322684,2.430886157210247e-05,13.8357733759781,25.72,7.130992345242832e-11,2.5808845884382164e-10,0,2,watch
